iso3c,year,commodity,hs2_code,export_value,export_share
AGO,2017,Sugars and sugar confectionery,17,29365184.779999994,0.04527905608594515
AGO,2017,Cocoa and cocoa preparations,18,2283.7799999999997,3.521428640162633e-6
AGO,2017,"Ores, slag and ash",26,302899.06,4.6704911373352063e-4
AGO,2017,"Mineral fuels, oils",27,62540402541.58005,96.43291590136523
AGO,2017,"Pearls, precious stones",71,2262909288.82,3.4892474668053857
AGO,2017,Copper and articles,74,1252616.1200000003,0.0019314462339180634
AGO,2017,Aluminum and articles,76,15955584.939999996,0.02460239330332325
AGO,2018,"Coffee, tea, mate",09,2983429.609999999,0.0037733984442055394
AGO,2018,Cereals,10,751598.93,9.506114116526951e-4
AGO,2018,Sugars and sugar confectionery,17,11200444.040000005,0.014166158964597539
AGO,2018,Cocoa and cocoa preparations,18,11482.8,1.452327868232272e-5
AGO,2018,"Ores, slag and ash",26,3104450.1799999997,0.003926463503633864
AGO,2018,"Mineral fuels, oils",27,76684436698.67,96.98936189533215
AGO,2018,"Pearls, precious stones",71,2359737412.1400003,2.9845616098523227
AGO,2018,Copper and articles,74,462535.0900000001,5.850076647179452e-4
AGO,2018,Aluminum and articles,76,2103385.589999999,0.0026603315480502824
AGO,2019,"Coffee, tea, mate",09,4116448.74,0.00602703040167848
AGO,2019,Cereals,10,4310268.180000001,0.0063108079320446904
AGO,2019,Sugars and sugar confectionery,17,23662371.160000015,0.0346448697323315
AGO,2019,Cocoa and cocoa preparations,18,119979.26,1.7566565096857896e-4
AGO,2019,"Ores, slag and ash",26,131814.06,1.9299337782806232e-4
AGO,2019,"Mineral fuels, oils",27,65806195748.73999,96.34905411125342
AGO,2019,"Pearls, precious stones",71,2459986406.0899997,3.6017484471870795
AGO,2019,Copper and articles,74,455030.61,6.662255486179826e-4
AGO,2019,Aluminum and articles,76,805834.2600000001,0.0011798489160183446
AGO,2020,"Coffee, tea, mate",09,3793413.3800000004,0.009293744057229875
AGO,2020,Cereals,10,672611.6000000002,0.0016478773690421999
AGO,2020,Sugars and sugar confectionery,17,10222994.659999996,0.025046016964401518
AGO,2020,Cocoa and cocoa preparations,18,109620.74,2.685673821617989e-4
AGO,2020,"Mineral fuels, oils",27,38579811894.27,94.51933169524968
AGO,2020,"Pearls, precious stones",71,2216443765.1400003,5.430217855786148
AGO,2020,Copper and articles,74,1881801.2000000004,0.004610354044617212
AGO,2020,Aluminum and articles,76,3911841.4599999995,0.009583889146745307
AGO,2021,"Coffee, tea, mate",09,4541732.85,0.007002882249928094
AGO,2021,Cereals,10,97403.54999999999,1.501861985068064e-4
AGO,2021,Sugars and sugar confectionery,17,5631738.239999999,0.008683557809248352
AGO,2021,Cocoa and cocoa preparations,18,35145.54000000001,5.419078716400897e-5
AGO,2021,"Ores, slag and ash",26,19854094.620000005,0.03061296016184459
AGO,2021,"Mineral fuels, oils",27,61734528732.96,95.18825737883758
AGO,2021,"Pearls, precious stones",71,3074799684.0099993,4.741023050098189
AGO,2021,Copper and articles,74,4716739.93,0.007272725064250329
AGO,2021,Aluminum and articles,76,10988460.089999996,0.016943068793292024
AGO,2022,"Coffee, tea, mate",09,22387.05,2.3120120657873743e-5
AGO,2022,Cereals,10,388013.07000000024,4.0071867419923636e-4
AGO,2022,Sugars and sugar confectionery,17,5566584.500000002,0.005748863976819179
AGO,2022,Cocoa and cocoa preparations,18,159172.47,1.643846202072979e-4
AGO,2022,"Ores, slag and ash",26,12687519.159999998,0.013102975775204187
AGO,2022,"Mineral fuels, oils",27,92816991353.32002,95.856311536785
AGO,2022,"Pearls, precious stones",71,3975075584.82,4.105240625504765
AGO,2022,Copper and articles,74,7268922.579999999,0.0075069456271524325
AGO,2022,Aluminum and articles,76,11136171.639999995,0.011500828915984536
ALB,2000,"Coffee, tea, mate",09,412793,2.8091974739387733
ALB,2000,Cereals,10,9176,0.06244581671894191
ALB,2000,Sugars and sugar confectionery,17,109858,0.7476212438000783
ALB,2000,"Ores, slag and ash",26,2347080,15.972681724574342
ALB,2000,"Mineral fuels, oils",27,4879864,33.209142650104916
ALB,2000,"Pearls, precious stones",71,523177,3.560398327546411
ALB,2000,Copper and articles,74,1899749,12.928441354184084
ALB,2000,Aluminum and articles,76,4512642,30.710071409132457
ALB,2001,"Coffee, tea, mate",09,234898,1.2760015366470328
ALB,2001,Cereals,10,14873,0.08079239012061115
ALB,2001,Sugars and sugar confectionery,17,375076,2.037469677730004
ALB,2001,Cocoa and cocoa preparations,18,3181,0.017279674105672296
ALB,2001,"Ores, slag and ash",26,850871,4.6220602282198975
ALB,2001,"Mineral fuels, oils",27,4435147,24.09239068555491
ALB,2001,"Pearls, precious stones",71,4535131,24.635518926919744
ALB,2001,Copper and articles,74,2128752,11.563703493177652
ALB,2001,Aluminum and articles,76,5830983,31.67478338752448
ALB,2002,"Coffee, tea, mate",09,443203,2.388070590500878
ALB,2002,Cereals,10,18590,0.10016681357619718
ALB,2002,Sugars and sugar confectionery,17,1673,0.00901447440091328
ALB,2002,"Ores, slag and ash",26,1555247,8.379996574176435
ALB,2002,"Mineral fuels, oils",27,7027227,37.86417089115758
ALB,2002,"Pearls, precious stones",71,364322,1.9630432412967889
ALB,2002,Copper and articles,74,2925533,15.763384541259432
ALB,2002,Aluminum and articles,76,6223246,33.53215287363177
ALB,2003,"Coffee, tea, mate",09,410438,1.8099808113052296
ALB,2003,Cereals,10,21683,0.0956193479442237
ALB,2003,Sugars and sugar confectionery,17,35414,0.1561713595026859
ALB,2003,"Ores, slag and ash",26,5638132,24.86346471721911
ALB,2003,"Mineral fuels, oils",27,4967161,21.904565602268054
ALB,2003,"Pearls, precious stones",71,399825,1.7631787940690515
ALB,2003,Copper and articles,74,4058792,17.89877067201179
ALB,2003,Aluminum and articles,76,7144928,31.508248695679857
ALB,2004,"Coffee, tea, mate",09,830890,1.981348204330608
ALB,2004,Cereals,10,4614,0.01100258832671163
ALB,2004,Sugars and sugar confectionery,17,4771,0.011376972021400344
ALB,2004,Cocoa and cocoa preparations,18,51445,0.12267623677236233
ALB,2004,"Ores, slag and ash",26,5900228,14.069739860801281
ALB,2004,"Mineral fuels, oils",27,16295661,38.85878836034893
ALB,2004,"Pearls, precious stones",71,783055,1.8672804079265661
ALB,2004,Copper and articles,74,8360576,19.936709124877634
ALB,2004,Aluminum and articles,76,9704347,23.1410782445945
ALB,2005,"Coffee, tea, mate",09,1483451,2.5439835151968637
ALB,2005,Cereals,10,1067,0.0018298079348189145
ALB,2005,Cocoa and cocoa preparations,18,235001,0.40300533691694446
ALB,2005,"Ores, slag and ash",26,12885646,22.097710680475732
ALB,2005,"Mineral fuels, oils",27,19059266,32.684907365158715
ALB,2005,"Pearls, precious stones",71,1150754,1.9734384257025352
ALB,2005,Copper and articles,74,10084225,17.2935285112458
ALB,2005,Aluminum and articles,76,13412721,23.00159635736859
ALB,2006,"Coffee, tea, mate",09,1451489,1.3439047605670855
ALB,2006,Cereals,10,10645,0.009855993518543115
ALB,2006,Sugars and sugar confectionery,17,16220,0.015017774999602567
ALB,2006,Cocoa and cocoa preparations,18,58887,0.05452230064128214
ALB,2006,"Ores, slag and ash",26,22162856,20.52014702568383
ALB,2006,"Mineral fuels, oils",27,34288566,31.74710044679547
ALB,2006,"Pearls, precious stones",71,1246185,1.1538178753316723
ALB,2006,Copper and articles,74,29006005,26.8560824122902
ALB,2006,Aluminum and articles,76,19764494,18.299551410172313
ALB,2007,"Coffee, tea, mate",09,2263224,1.0654129850142675
ALB,2007,Cereals,10,229560,0.10806539911200803
ALB,2007,Sugars and sugar confectionery,17,13122,0.0061771831640868155
ALB,2007,"Ores, slag and ash",26,68400077,32.199344922012024
ALB,2007,"Mineral fuels, oils",27,81651332,38.43737489374052
ALB,2007,"Pearls, precious stones",71,2728894,1.2846271965689322
ALB,2007,Copper and articles,74,29573769,13.92185550719346
ALB,2007,Aluminum and articles,76,27566943,12.977141913194703
ALB,2008,"Coffee, tea, mate",09,2713233,0.9829022836496073
ALB,2008,Cereals,10,38182,0.013831902750080553
ALB,2008,Sugars and sugar confectionery,17,16335,0.005917556215561412
ALB,2008,Cocoa and cocoa preparations,18,24716,0.008953677344586217
ALB,2008,"Ores, slag and ash",26,96978016,35.13148829835409
ALB,2008,"Mineral fuels, oils",27,120814668,43.76661093078595
ALB,2008,"Pearls, precious stones",71,4111009,1.4892639645043715
ALB,2008,Copper and articles,74,23207760,8.407298710575912
ALB,2008,Aluminum and articles,76,28139086,10.193732675819842
ALB,2009,"Coffee, tea, mate",09,2023664,0.8984953276590414
ALB,2009,Cereals,10,42113,0.01869793292449004
ALB,2009,Sugars and sugar confectionery,17,31948,0.014184730631197203
ALB,2009,Cocoa and cocoa preparations,18,11192,0.004969184463013619
ALB,2009,"Ores, slag and ash",26,65044600,28.87943314179196
ALB,2009,"Mineral fuels, oils",27,127471123,56.59645495840762
ALB,2009,"Pearls, precious stones",71,3159040,1.402595826129248
ALB,2009,Copper and articles,74,12142879,5.391369340873334
ALB,2009,Aluminum and articles,76,15301546,6.793799557120103
ALB,2010,"Coffee, tea, mate",09,1157363,0.25632481775163557
ALB,2010,Cereals,10,59545,0.013187618122422386
ALB,2010,Sugars and sugar confectionery,17,21256,0.004707633064240663
ALB,2010,Cocoa and cocoa preparations,18,48488,0.010738789613233971
ALB,2010,"Ores, slag and ash",26,107608541,23.832401468117094
ALB,2010,"Mineral fuels, oils",27,278763205,61.73856233306822
ALB,2010,"Pearls, precious stones",71,3917507,0.8676225763358226
ALB,2010,Copper and articles,74,33116981,7.334521770014575
ALB,2010,Aluminum and articles,76,26829136,5.941932993912753
ALB,2011,"Coffee, tea, mate",09,914332,0.15309380089389119
ALB,2011,Cereals,10,137805,0.023073775425318892
ALB,2011,Sugars and sugar confectionery,17,57266,0.00958849695951752
ALB,2011,Cocoa and cocoa preparations,18,63100,0.010565329482512405
ALB,2011,"Ores, slag and ash",26,109400487,18.31778432174826
ALB,2011,"Mineral fuels, oils",27,413444369,69.22624375870741
ALB,2011,"Pearls, precious stones",71,3251430,0.5444125077547592
ALB,2011,Copper and articles,74,39324428,6.58439839193877
ALB,2011,Aluminum and articles,76,30643245,5.130839617089554
ALB,2012,"Coffee, tea, mate",09,979965,0.14036530271814726
ALB,2012,Cereals,10,61122,0.008754810664399848
ALB,2012,Sugars and sugar confectionery,17,216516,0.031012672782520168
ALB,2012,Cocoa and cocoa preparations,18,1003,1.4366472131790596e-4
ALB,2012,"Ores, slag and ash",26,104437302,14.95907865107077
ALB,2012,"Mineral fuels, oils",27,524032933,75.05986568379849
ALB,2012,"Pearls, precious stones",71,2366829,0.33901279032117454
ALB,2012,Copper and articles,74,36428486,5.217834784868633
ALB,2012,Aluminum and articles,76,29629149,4.243931639054548
