iso3c,year,region,income,che_gdp,gghed_gdp,hc1_gdp,hc2_gdp,hc3_gdp,hc4_gdp,hc5_gdp,hc6_gdp,hc7_gdp,hc1_gghed_gdp,hc6_gghed_gdp,hp1_gdp,hp3_gdp,hp5_gdp,hp1_gghed_gdp,hp3_gghed_gdp
BEN,2016,AFR,Lower-middle,3.6204285600000006,0.7138922199999999,1.6654293766990578,NA,NA,0.0523338538742164,0.6295138707271132,0.30672778867750317,0.9664236690468393,0.3283967782490662,0.06048195078724976,1.3454104710729922,0.5134040095142556,0.7096396604910296,0.26529402585575224,0.10123528804253851
BEN,2017,AFR,Lower-middle,3.6738934500000004,0.70637327,1.6733145610260483,NA,NA,0.052565336929142545,0.6178276457431422,0.3879350942288928,0.9422508111774892,0.3217253560281081,0.07458762339942687,1.350700664447232,0.5606638747062903,0.6833089619901839,0.25969692864575694,0.10779789341662932
BEN,2018,AFR,Lower-middle,3.436498399999999,0.6667345800000002,1.5495301920994902,NA,NA,0.06662503600130891,0.5923866643841034,0.30015415334609946,0.9278023534817526,0.30063315665352075,0.058234612699504626,1.28798454853256,0.45283492360122646,0.6798304814396363,0.24988920030119802,0.08785707643472086
BEN,2019,AFR,Lower-middle,3.002068760000001,0.4562576099999999,1.4362465802981004,NA,NA,0.060295738031727615,0.5751113623340023,0.23994575542196034,0.6904693233137772,0.21828228614506617,0.036467211663222567,1.1251622222529114,0.39558917809494953,0.5938887823796394,0.17100335382971107,0.06012206493880105
BWA,2016,AFR,Upper-middle,5.768376350000001,3.83726597,2.524711832547432,0.0018009230208893535,NA,1.8463370681639113,0.024715140243018786,0.9122417890602467,0.458569594695895,1.6795004714091852,0.606845698195958,1.6642436607333813,0.419231493567472,0.057876309436606606,1.10709585811273,0.27888311133144666
BWA,2017,AFR,Upper-middle,6.629869940000001,5.01613283,2.9846504297553302,4.614897368078532e-4,NA,0.012324749609188019,NA,0.9904003909956853,2.642032877568714,2.2581744653001925,0.7493329373092186,2.319737422596007,0.5758380031523794,0.02382313735933985,1.755103968519692,0.43567670836907757
BWA,2018,AFR,Upper-middle,6.040103439999999,4.14253378,3.0838147102642273,0.005795204353641922,0.044066621480423986,0.4122764114283929,0.34393274345492236,1.241071412026264,0.909146334660857,2.1149979856190138,0.8511742056707389,2.1493273880151613,1.0557482922787182,0.33823377668773424,1.4740908657570893,0.7240725274635204
BWA,2019,AFR,Upper-middle,6.121932030000001,4.372941020000001,3.085458953798024,0.04139951175723515,3.240600371233891e-6,0.4407681116372149,0.20020428244279262,1.3155529852649412,1.0385449416427552,2.2039659961055897,0.9397091612675937,2.2075158196162636,1.021649087458177,0.1935529780207956,1.5768447660956604,0.7297714480817961
BFA,2016,AFR,Low,5.9528465299999995,2.3869311800000004,2.862701700815093,7.567090319946486e-4,NA,0.09430134791352415,0.9846941702805893,1.6682476643382438,0.3298925608575072,1.1478663046793813,0.6689223963533172,1.9515536823913429,1.2667832008958733,0.9846941701966946,0.7825204816667287,0.5079459558179747
BFA,2017,AFR,Low,6.1207518599999995,2.6879499,3.0047233408388636,6.90617684985545e-5,NA,0.09603355244906721,1.0300044329612597,1.250917888812424,0.7257940482694653,1.319534917975827,0.5493450299979268,2.078454223949497,1.4096620677046403,1.0299455855959665,0.9127605482473568,0.619058099493104
