country,iso3c,region,income,year,che_gdp,gghed_gdp,hc1_che,hc2_che,hc3_che,hc4_che,hc5_che,hc6_che,hc7_che,hc1_gghed_usd2023,hc2_gghed_usd2023,hc3_gghed_usd2023,hc4_gghed_usd2023,hc5_gghed_usd2023,hc6_gghed_usd2023,hc7_gghed_usd2023,hc11_che,hc12_che,hc13_che,hc61_che,hc62_che,hc63_che,hc1_gdp,hc2_gdp,hc3_gdp,hc4_gdp,hc5_gdp,hc6_gdp,hc7_gdp,hc1_gghed_gdp,hc6_gghed_gdp,hp1_che,hp2_che,hp3_che,hp4_che,hp5_che,hp6_che,hp7_che,hp1_usd2023,hp3_usd2023,hp5_usd2023,hp11_che,hp12_che,hp13_che,hp31_che,hp32_che,hp33_che,hp1_gdp,hp3_gdp,hp5_gdp,hp1_gghed_gdp,hp3_gghed_gdp
Benin,BEN,AFR,Lower-middle,2016,3.6204285600000006,0.7138922199999999,46.00089047742617,NA,NA,1.4455154412497617,17.387827443475725,8.47214034455366,26.693626266356684,24.04421876894612,NA,NA,0.6237662355879167,NA,2.0567089862950643,65.96959124357481,31.259804705247678,NA,14.741085772178481,1.0361733495125496,5.256412979999999,0.0272270506682745,1.6654293766990578,NA,NA,0.0523338538742164,0.6295138707271132,0.30672778867750317,0.9664236690468393,0.3283967782490662,0.06048195078724976,37.161635667601516,NA,14.180752389000475,1.627514906700258,19.600985041699854,1.106957289400818,24.64220740289981,174.69283705684683,66.6621859326527,92.14211442874213,34.33048609519938,5.799189991612875e-4,1.6756315951008964,0.8094804488014901,0.2455124057997921,4.123086462198766,1.3454104710729922,0.5134040095142556,0.7096396604910296,0.26529402585575224,0.10123528804253851
Benin,BEN,AFR,Lower-middle,2017,3.6738934500000004,0.70637327,45.54608302606185,NA,NA,1.4307801150069428,16.816700161599464,10.559236393447739,25.647200279515157,28.694718566352314,NA,NA,0.8094642532667246,NA,4.818519229656832,62.59770582965843,30.362140223882122,NA,15.183942802179729,5.462398646380525,2.90191555,0.4967975390950168,1.6733145610260483,NA,NA,0.052565336929142545,0.6178276457431422,0.3879350942288928,0.9422508111774892,0.3217253560281081,0.07458762339942687,36.76482954200078,NA,15.260754900398384,1.580998783900434,18.599041351898318,1.1337031136984257,23.955658916699974,185.3275804422519,76.92783610439541,93.75578168681264,33.737340093498744,NA,1.5371316146007101,1.5276152566988213,0.23333571689942562,3.910849026398603,1.350700664447232,0.5606638747062903,0.6833089619901839,0.25969692864575694,0.10779789341662932
Benin,BEN,AFR,Lower-middle,2018,3.436498399999999,0.6667345800000002,45.09038014100314,NA,NA,1.9387477672420543,17.238089340710985,8.73430214156653,26.998480589478895,20.260890122058402,NA,NA,0.9884854203012168,NA,4.406830214496853,71.951875173145325,31.444101235741847,NA,13.646278905261301,3.604389612145357,3.9880240000000002,0.5346565662301952,1.5495301920994902,NA,NA,0.06662503600130891,0.5923866643841034,0.30015415334609946,0.9278023534817526,0.30063315665352075,0.058234612699504626,37.47956200219853,NA,13.177219101898215,2.000966276200068,19.782650893701465,1.2030113777012748,24.612095211301252,188.55735241752495,66.29377221467568,99.52528997264491,35.0182858261983,NA,1.606962314299196,1.6625015571989004,0.24849077739830466,4.1595772572004135,1.28798454853256,0.45283492360122646,0.6798304814396363,0.24988920030119802,0.08785707643472086
Benin,BEN,AFR,Lower-middle,2019,3.002068760000001,0.4562576099999999,47.84189487712133,NA,NA,2.0084729182461363,19.157168216693414,7.992680201700651,22.999783766237815,14.816843704756126,NA,NA,0.7228820594303794,NA,3.2227268460610103,52.61860077628148,33.92776793354064,NA,13.91412694358069,3.3482263761060143,3.70529699,0.4188201714097907,1.4362465802981004,NA,NA,0.060295738031727615,0.5751113623340023,0.23994575542196034,0.6904693233137772,0.21828228614506617,0.036467211663222567,37.47956200220114,NA,13.177219101901896,2.0009662761993323,19.782650893700353,1.2030113777006408,24.61209521129992,176.03051704993766,61.88953573288497,92.91331273380325,35.01828582620125,NA,1.606962314300959,1.6625015571988586,0.24849077739846578,4.159577257200335,1.1251622222529114,0.39558917809494953,0.5938887823796394,0.17100335382971107,0.06012206493880105
Botswana,BWA,AFR,Upper-middle,2016,5.768376350000001,3.83726597,43.76815379855427,0.031220622782169073,NA,32.00791619922495,0.428459218736981,15.81453313219146,7.949716989181797,170.88410263170488,0.2812627038772856,NA,288.34711324313207,0.22161786787985271,93.87796934245216,45.680543454937364,20.922457541628386,7.789921025393524,10.387901009223958,11.503291236820099,0.9749433999999999,NA,2.524711832547432,0.0018009230208893535,NA,1.8463370681639113,0.024715140243018786,0.9122417890602467,0.458569594695895,1.6795004714091852,0.606845698195958,28.851162957378477,NA,7.267755571591163,0.21687389064391427,1.0033379572504244,7.102864977849103,55.55800464465426,259.9165352982967,65.47430515551423,9.038946747729181,20.65193819840315,0.3142403148028581,2.6918681159587563,2.183638250188428,0.30018252457800537,NA,1.6642436607333813,0.419231493567472,0.057876309436606606,1.10709585811273,0.27888311133144666
Botswana,BWA,AFR,Upper-middle,2017,6.629869940000001,5.01613283,45.01823499957421,0.006960766063049695,NA,0.1858973059913151,NA,14.93845882285415,39.85044807030881,329.2289705395673,0.07503895677352673,NA,2.0040236638100293,NA,58.272484194046676,426.05055970786236,30.340400888857648,4.49285322687079,10.184980883845775,9.347004551726865,0.5649434299999999,NA,2.9846504297553302,4.614897368078532e-4,NA,0.012324749609188019,NA,0.9904003909956853,2.642032877568714,2.2581744653001925,0.7493329373092186,34.989184457455686,NA,8.685509796778598,0.19428475323942493,0.35933038769897574,5.762331211359676,50.00935939274355,377.19295207769807,93.63216466306046,3.8736795901088654,29.083041244229328,0.27722184190352084,0.9333565107560586,4.667358342505777,0.1125798847056979,NA,2.319737422596007,0.5758380031523794,0.02382313735933985,1.755103968519692,0.43567670836907757
Botswana,BWA,AFR,Upper-middle,2018,6.040103439999999,4.14253378,51.05566056769762,0.09594544880247817,0.7295673313903377,6.8256515061999155,5.694153202365064,20.54718804660511,15.051833858342947,353.99650271778137,NA,7.465492779888145,37.80808483815904,7.2500173731480135,148.2490664978543,147.0331158662804,22.00606906248698,NA,28.971451758883525,7.893455075906796,0.64786708,0.3424035526246341,3.0838147102642273,0.005795204353641922,0.044066621480423986,0.4122764114283929,0.34393274345492236,1.241071412026264,0.909146334660857,2.1149979856190138,0.8511742056707389,35.58428111978098,0.20529324975764746,17.47897702027961,6.781887072570957,5.599801063799899,18.712521763628057,15.637238709134568,364.125670582011,178.85830564268113,57.30146158126313,34.339846575138004,1.2180896822207183,0.02634486251755537,2.5370704573693375,0.7474905406833221,NA,2.1493273880151613,1.0557482922787182,0.33823377668773424,1.4740908657570893,0.7240725274635204
Botswana,BWA,AFR,Upper-middle,2019,6.121932030000001,4.372941020000001,50.40008511492774,0.6762491245306287,5.293427557433842e-5,7.199820407630609,3.2702794062676417,21.48917986704503,16.96433309865995,402.3789281048633,6.033351756245519,2.828044680244257e-4,41.752867952275935,8.267896519590723,155.24432047612368,149.62716417964262,22.087997545598668,NA,28.235478983471804,9.082123459866569,NA,0.3573676379496157,3.085458953798024,0.04139951175723515,3.240600371233891e-6,0.4407681116372149,0.20020428244279262,1.3155529852649412,1.0385449416427552,2.2039659961055897,0.9397091612675937,36.05913637718489,0.002589668991509729,16.688344177159653,7.096196930886456,3.1616322604090654,19.559397926317178,17.43270265795971,385.32589266582363,178.33070237497915,33.78502358680997,34.69565334346455,1.3364911653370208,0.026991868383312155,1.8377173840594716,0.948158022223856,NA,2.2075158196162636,1.021649087458177,0.1935529780207956,1.5768447660956604,0.7297714480817961
Burkina Faso,BFA,AFR,Low,2016,5.9528465299999995,2.3869311800000004,48.08962714540355,0.0127117174645967,NA,1.5841387383041465,16.54156822821013,28.024368777708833,5.541761562220338,216.53554331563646,0.11725240894882966,NA,0.09021422685279043,1.2016080936696016,110.14528039757761,39.867688371259064,10.390051092081677,NA,37.699576053321856,3.8691122014194153,2.7339592,0.0026514947867054624,2.862701700815093,7.567090319946486e-4,NA,0.09430134791352415,0.9846941702805893,1.6682476643382438,0.3298925608575072,1.1478663046793813,0.6689223963533172,32.78353763290019,NA,21.28029329349892,1.5841387416993142,16.541568226800813,21.923557686800926,5.429578541300112,302.39413140104085,196.28863359728044,152.57880988824752,32.4366676347,NA,0.3468699982001863,0.012711719700061394,NA,0.03767247139910063,1.9515536823913429,1.2667832008958733,0.9846941701966946,0.7825204816667287,0.5079459558179747
Burkina Faso,BFA,AFR,Low,2017,6.1207518599999995,2.6879499,49.09075567129532,0.0011283216519506886,NA,1.5689829394434431,16.828070415539763,20.43732399915366,11.85792309295586,264.92188342286636,0.011364997768655577,NA,0.009145485556143012,6.890824255368003,100.30033328016856,68.0292222065096,10.873343039487835,NA,38.21741263180749,4.284230476974991,1.1358724800000002,0.006590698166114251,3.0047233408388636,6.90617684985545e-5,NA,0.09603355244906721,1.0300044329612597,1.250917888812424,0.7257940482694653,1.319534917975827,0.5493450299979268,33.95749854740063,NA,23.03086450729993,1.5689829436003633,16.82710897539909,12.259075487200084,11.857923094999395,342.0362398905729,231.9779322528784,169.49072600681842,33.6525098568991,NA,0.30498869049953636,0.0011283253997646206,NA,0.037633799299096306,2.078454223949497,1.4096620677046403,1.0299455855959665,0.9127605482473568,0.619058099493104
