iso3c,country,year,total_cases_per_million,total_deaths_per_million,excess_mortality,vaccination_rate,full_vaccination_rate,booster_rate,peak_icu_patients,peak_hosp_patients,avg_stringency,population
ATG,Antigua and Barbuda,2023,98071.1,1572.41,NA,NA,NA,NA,NA,NA,NA,93772
ATG,Antigua and Barbuda,2024,98071.1,1572.41,NA,NA,NA,NA,NA,NA,NA,93772
AUS,Australia,2020,1079.96,35.11,-130.95,NA,NA,NA,3.67,26.51,56.47168508287295,26177410
AUS,Australia,2021,13992.11,90.72,59.66,78.1,75.47,9.09,11.92,61.31,61.46345205479453,26177410
AUS,Australia,2022,408154.12,679.97,919.67,84.93,82.7,75.22,16.2,212.82,24.249397260273973,26177410
AUS,Australia,2023,447369.97,929.12,1386.02,NA,NA,75.6,4.62,140.01,NA,26177410
AUS,Australia,2024,452699,963.17,NA,NA,NA,NA,NA,NA,NA,26177410
AUT,Austria,2020,38030.25,777.63,805.03,NA,NA,NA,79.31,524.52,47.58527624309391,8939617
AUT,Austria,2021,138128.22,1829.85,1624.46,75.03,70.64,44.66,74.28,382.01,61.62435616438358,8939617
AUT,Austria,2022,626425.4,2379.68,2567.49,77.16,74.73,60.39,36.13,370.82,38.745479452054795,8939617
AUT,Austria,2023,670974.6,2485.91,3178.02,77.18,74.76,60.47,10.29,176.96,NA,8939617
AUT,Austria,2024,671004.9,2485.91,NA,NA,NA,NA,NA,NA,NA,8939617
AZE,Azerbaijan,2020,20568.98,234.67,1748.9,NA,NA,NA,NA,NA,66.20243093922653,10358078
AZE,Azerbaijan,2021,59650.38,804.64,3567.98,49.91,45.15,14.48,NA,NA,65.46446575342466,10358078
AZE,Azerbaijan,2022,80220.34,971.9,3777.48,51.88,46.94,32.46,NA,NA,49.016246575342464,10358078
AZE,Azerbaijan,2023,81032.45,1005.6,3878.84,NA,NA,NA,NA,NA,NA,10358078
AZE,Azerbaijan,2024,81178.45,1005.6,NA,NA,NA,NA,NA,NA,NA,10358078
BDI,Burundi,2020,60.73,0.15,NA,NA,NA,NA,NA,NA,11.974751381215475,12889583
BDI,Burundi,2021,2026.78,1.05,NA,0.03,0.03,NA,NA,NA,16.09010958904109,12889583
BDI,Burundi,2022,3907.41,1.13,NA,0.22,0.22,0,NA,NA,19.626821917808215,12889583
BDI,Burundi,2023,4088.33,1.13,NA,0.29,0.28,0,NA,NA,NA,12889583
BDI,Burundi,2024,4096.43,1.13,NA,NA,NA,NA,NA,NA,NA,12889583
BEL,Belgium,2020,54867.74,1664.17,1477.43,0.01,0,NA,126.46,640.1,52.10002762430939,11655923
BEL,Belgium,2021,175927.06,2421.62,1740.79,76.7,75.75,37.65,81.25,321.73,50.11490410958902,11655923
BEL,Belgium,2022,401953.88,2855.22,2334.51,79.44,78.61,99.54,44.61,371.4,15.462136986301354,11655923
BEL,Belgium,2023,416493.97,2949.63,2596.93,79.46,78.68,116.24,11.32,201.36,NA,11655923
BEL,Belgium,2024,418562.72,2949.63,NA,NA,78.68,116.31,NA,NA,NA,11655923
BEN,Benin,2020,232.93,3.2,NA,NA,NA,NA,NA,NA,38.25798342541436,13352864
BEN,Benin,2021,1812.2,11.7,NA,12.73,9.88,NA,NA,NA,40.467698630136994,13352864
BEN,Benin,2022,2033.87,11.85,NA,27.69,20.54,NA,NA,NA,18.200246575342454,13352864
BEN,Benin,2023,2037.57,11.85,NA,NA,NA,NA,NA,NA,NA,13352864
BEN,Benin,2024,2037.57,11.85,NA,NA,NA,NA,NA,NA,NA,13352864
BES,Bonaire Sint Eustatius and Saba,2020,6351.64,104.7,NA,NA,NA,NA,NA,NA,NA,27052
BES,Bonaire Sint Eustatius and Saba,2021,113038.32,767.78,NA,70.64,61.87,NA,NA,NA,NA,27052
BES,Bonaire Sint Eustatius and Saba,2022,408878.34,1361.07,NA,NA,NA,NA,NA,NA,NA,27052
BES,Bonaire Sint Eustatius and Saba,2023,416067.56,1430.86,NA,NA,NA,NA,NA,NA,NA,27052
BES,Bonaire Sint Eustatius and Saba,2024,416067.56,1430.86,NA,NA,NA,NA,NA,NA,NA,27052
BFA,Burkina Faso,2020,281.84,3.46,NA,NA,NA,NA,NA,NA,31.70392265193369,22673764
BFA,Burkina Faso,2021,757.03,14.08,NA,4.29,2.86,NA,NA,NA,19.649999999999988,22673764
BFA,Burkina Faso,2022,977.65,17.55,NA,19.26,14.71,NA,NA,NA,10.447534246575346,22673764
BFA,Burkina Faso,2023,982.23,17.77,NA,26.86,23.08,0.02,NA,NA,NA,22673764
BFA,Burkina Faso,2024,983.56,17.77,NA,NA,NA,NA,NA,NA,NA,22673764
BGD,Bangladesh,2020,3005.86,43.99,NA,NA,NA,NA,NA,NA,66.74113259668508,171186368
BGD,Bangladesh,2021,9347.07,165.66,NA,38.46,23.8,NA,NA,NA,64.03383561643837,171186368
BGD,Bangladesh,2022,12026.01,173.8,NA,87.12,73.41,35.41,NA,NA,19.830684931506827,171186368
BGD,Bangladesh,2023,12080.72,174.02,NA,88.5,83.06,40.05,NA,NA,NA,171186368
BGD,Bangladesh,2024,12110.57,174.15,NA,88.5,83.07,40.08,NA,NA,NA,171186368
BGR,Bulgaria,2020,28917.08,1043.53,2209.28,0.07,NA,NA,85.82,1031.71,41.542375690607734,6781955
BGR,Bulgaria,2021,107514.91,4472.4,8238.76,28.08,28.24,4.06,117.81,1526.85,48.395589041095896,6781955
BGR,Bulgaria,2022,187612.47,5572.34,10165.96,31.03,30.59,11.33,92.16,925.1,19.005287671232892,6781955
