iso3c,mean_elevation,sd_elevation,min_elevation,max_elevation,range_elevation,cv_elevation,ruggedness_index,terrain_heterogeneity
AFG,1807.3486276116346,1104.3088184578319,254,5312,5058,0.6106725227625721,1104.3088184578319,2.7970270349254074
ALB,702.6285714285714,464.07679442118916,-2,1887,1889,0.6595479678702896,464.07679442118916,2.6846550533966784
DZA,556.1222685360616,315.7802418574617,-32,2281,2313,0.5668059951852773,315.7802418574617,4.151691882785122
AGO,1049.1497448979592,385.3195606801614,2,2044,2042,0.3669186823614399,385.3195606801614,1.9444845936694646
ARG,697.6378933358684,1030.3839226798464,-59,5479,5538,1.4748468877918306,1030.3839226798464,7.9268531707564
ARM,1759.6040268456377,586.7346172374323,457,2909,2452,0.3332575685906202,586.7346172374323,1.392703846300461
AUS,266.7310969319528,191.10386475930807,-15,1701,1716,0.7137903177824708,191.10386475930807,6.409416088248213
AUT,944.7318181818182,601.0638259813117,113,2697,2584,0.6355541966821681,601.0638259813117,2.7322756307044567
AZE,707.2983682983682,804.2270071271289,-30,3145,3175,1.1354353519961111,804.2270071271289,4.48257421180807
BHS,5.216101694915254,3.1622634053685803,0,19,19,0.5087213112931049,3.1622634053685803,3.0565780504430813
BHR,7.7,7.732327520797919,2,26,24,0.8887732782526344,7.732327520797919,2.7586206896551726
BGD,41.38461538461539,84.5540830936199,2,753,751,1.9949239205391263,84.5540830936199,17.718693284936478
BLR,160.1935771632471,26.304246563658932,106,275,169,0.16318421010670656,26.304246563658932,1.0484288702697317
BEL,153.96132596685084,156.10567519902392,1,580,579,1.0073847408379681,156.10567519902392,3.7364161437535652
BLZ,110.42718446601941,184.7770570779479,1,722,721,1.6582762811735325,184.7770570779479,6.470593360634313
BEN,259.97744360902254,111.13223592545123,3,546,543,0.42583080893359304,111.13223592545123,2.080639585133967
BTN,2653.40625,1472.1799063600386,131,5703,5572,0.5546174050637647,1472.1799063600386,2.0991511755218326
BOL,1287.6904015949872,1545.4095875512457,80,5006,4926,1.1992093567535866,1545.4095875512457,3.8224852097161466
BIH,655.4196078431372,377.91459530732885,79,1568,1489,0.575721064379963,377.91459530732885,2.2683661216223485
BWA,1032.549019607843,105.07163975209859,556,1387,831,0.10166101245199348,105.07163975209859,0.8040257251807024
BRA,321.82160823170733,257.5601136882826,0,1600,1600,0.7978403772259791,257.5601136882826,4.956297717380769
BRN,107.84375,158.7351434501164,12,735,723,1.4583762820567685,158.7351434501164,6.642549526270456
BGR,458.9171483622351,399.53695070122893,17,2026,2009,0.8687150547092666,399.53695070122893,4.368178066754085
BFA,298.31642778390295,47.561418236470644,153,541,388,0.15890012649358656,47.561418236470644,1.296287019301606
BDI,1467.873786407767,341.6686756405304,767,2239,1472,0.2326058772388504,341.6686756405304,1.0021283064761326
CPV,207.57777777777778,242.00126679691812,1,1007,1006,1.1602447268124136,242.00126679691812,4.823140848071596
KHM,134.15055467511885,167.62225435321454,1,980,979,1.2402631624868479,167.62225435321454,7.2437734521575985
CMR,633.8629139072848,308.84173902427415,10,1935,1925,0.4864699642376296,308.84173902427415,3.032150654623254
CAN,416.87468780378373,397.1940287561674,-1,3652,3653,0.9505099024870177,397.1940287561674,8.741855170024786
CAF,597.0750629722922,141.79127630463495,361,1227,866,0.2370793986961531,141.79127630463495,1.4479787799480952
TCD,522.0583560963496,294.4254879082859,169,2566,2397,0.5628922365481749,294.4254879082859,4.582662664810697
