Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
25754,WHOSIS_000015,COUNTRY,CRI,AMR,YEAR,Americas,SEX,SEX_MLE,2005,NA,NA,NA,NA,NA,NA,22.4 [22.4-22.5],22.44407884,22.38455506,22.5454037,NA,2024-08-02T10:09:37.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
28065,WHOSIS_000015,COUNTRY,CUB,AMR,YEAR,Americas,SEX,SEX_MLE,2004,NA,NA,NA,NA,NA,NA,20.5 [20.5-20.6],20.51137693,20.48078581,20.57590525,NA,2024-08-02T10:09:37.193+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
28459,WHOSIS_000015,COUNTRY,TKM,EUR,YEAR,Europe,SEX,SEX_FMLE,2011,NA,NA,NA,NA,NA,NA,20.2 [20.1-20.3],20.2055132,20.14983392,20.29961147,NA,2024-08-02T10:09:37.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
30893,WHOSIS_000015,COUNTRY,HRV,EUR,YEAR,Europe,SEX,SEX_MLE,2002,NA,NA,NA,NA,NA,NA,17.0 [16.9-17.1],16.97689796,16.90872335,17.05823934,NA,2024-08-02T10:09:37.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
31046,WHOSIS_000015,COUNTRY,NLD,EUR,YEAR,Europe,SEX,SEX_MLE,2009,NA,NA,NA,NA,NA,NA,21.4 [21.4-21.5],21.41813467,21.40839777,21.47402536,NA,2024-08-02T10:09:37.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
31630,WHOSIS_000015,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,SEX,SEX_FMLE,2019,NA,NA,NA,NA,NA,NA,18.1 [17.5-19.0],18.10603697,17.45338903,18.98042215,NA,2024-08-02T10:09:37.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
32221,WHOSIS_000015,COUNTRY,AUS,WPR,YEAR,Western Pacific,SEX,SEX_MLE,2019,NA,NA,NA,NA,NA,NA,24.0 [24.0-24.1],24.04666992,24.03692232,24.09881362,NA,2024-08-02T10:09:37.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
34693,WHOSIS_000015,COUNTRY,VNM,WPR,YEAR,Western Pacific,SEX,SEX_BTSX,2021,NA,NA,NA,NA,NA,NA,19.6 [19.1-20.2],19.61965101,19.13799866,20.18267183,NA,2024-08-02T10:09:37.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
35378,WHOSIS_000015,COUNTRY,ISL,EUR,YEAR,Europe,SEX,SEX_FMLE,2005,NA,NA,NA,NA,NA,NA,24.7 [24.6-24.8],24.66872927,24.56021161,24.83197267,NA,2024-08-02T10:09:37.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
35522,WHOSIS_000015,COUNTRY,SWE,EUR,YEAR,Europe,SEX,SEX_FMLE,2006,NA,NA,NA,NA,NA,NA,24.7 [24.7-24.8],24.69225272,24.68344012,24.75217272,NA,2024-08-02T10:09:37.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
37401,WHOSIS_000015,COUNTRY,NIC,AMR,YEAR,Americas,SEX,SEX_FMLE,2010,NA,NA,NA,NA,NA,NA,24.6 [24.5-24.8],24.61338915,24.541203930000002,24.75923341,NA,2024-08-02T10:09:37.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
38244,WHOSIS_000015,COUNTRY,SGP,WPR,YEAR,Western Pacific,SEX,SEX_FMLE,2021,NA,NA,NA,NA,NA,NA,27.9 [27.9-28.0],27.90061804,27.86124411,27.97855078,NA,2024-08-02T10:09:37.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
38517,WHOSIS_000015,COUNTRY,CUB,AMR,YEAR,Americas,SEX,SEX_FMLE,2014,NA,NA,NA,NA,NA,NA,23.2 [23.2-23.3],23.19935706,23.16075558,23.2809638,NA,2024-08-02T10:09:37.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
