Income_Group,Countries,Observations,Coefficient,SE,CI_Lower,CI_Upper,P_Value,Baseline_Spending,Baseline_Life_Exp,Significant
High-income,62,1426,-0.12249111786701886,0.05027900688434079,-0.2210379713603268,-0.02394426437371091,0.01497116624775482,5.0% GDP,77.8 years,*
Upper-middle-income,52,1172,-0.18490033759562569,0.05700762260952571,-0.2966352779102961,-0.0731653972809553,0.00121673180418147,3.3% GDP,71.4 years,**
Lower-middle-income,50,1137,-0.10137945877687488,0.06851148127475477,-0.23566196207539425,0.03290304452164447,0.1392386843918993,2.1% GDP,64.9 years,
Low-income,23,503,0.34720626052893766,0.14200302952756874,0.06888032265490296,0.6255321984029724,0.01486261919194983,1.2% GDP,58.8 years,*
