Institutional_Level_Label,Institutional_Level,Marginal_Effect,Direct_Effect,Interaction_Effect,T_Statistic,P_Value,Significant
Very Weak,-2,0.04499999999999998,0.045,-2.220446049250313e-17,0.7093874937593602,0.4780840464766906,
Weak,-1,0.04499999999999998,0.045,-1.1102230246251564e-17,1.1433700315519029,0.2528849896586638,
Average,0,0.045,0.045,0,2.5,0.01241933065155231,*
Strong,1,0.04500000000000001,0.045,1.1102230246251564e-17,2.4087947740748517,0.01600529529866334,*
Very Strong,2,0.04500000000000002,0.045,2.220446049250313e-17,1.1166562507172968,0.26414133049395394,
