"Specification","Optimal_Threshold","Distance_to_015","SSR_diff_pct","N_obs","N_countries"
"Full model (current)",-0.52690136830012,0.37690136830012,0.486688048353078,4035,189
"Without log_gdp_pc",-0.393400786500988,0.243400786500988,0.468628604527902,4059,191
"Without log_population",-0.400446204344432,0.250446204344432,0.903026093164526,4035,189
"Minimal controls",-0.393400786500988,0.243400786500988,0.889722562146062,4059,191
"Country FE only",-0.52690136830012,0.37690136830012,0.520300296383291,4035,189
"Year FE only",0.126450312137605,0.276450312137605,1.69553863327397,4035,189
"No fixed effects",0.126450312137605,0.276450312137605,1.72678376965624,4035,189
