Variable,Coefficient,SE,t_value,P_value
(Intercept),56.39540535151999,0.6418274515748452,87.86692624807989,0
health_exp_govt_gdp,-0.03348954970764216,0.03867942809887558,-0.8658232904073291,0.38663588993772535
log_gdp_per_capita,1.6976986878826976,0.05317017612932106,31.9295291359114,9.726533600085463e-201
log_population,0.39985907374813623,0.023401949321089553,17.086571219423508,2.3235546498307524e-63
health_exp_total_gdp,-0.009580729390606117,0.024850658107637154,-0.38553222007676924,0.6998624119872094
infant_mortality,-0.24818757889965498,0.004156642436207042,-59.708666961050284,0
