Model,Test_RMSE,Test_R2,NestedCV_RMSE,NestedCV_SD,Bootstrap_RMSE,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Marginal_Effect,Marginal_CI_Lower,Marginal_CI_Upper
RF,2.791233622577924,0.8744374514091112,1.497111024653514,0.11573909677597438,2.7902021769863796,2.5933351881554394,3.017311954755267,-0.19334533484959127,-0.24941084280616543,-0.13176248968845566
XGB,2.7363995718284144,0.88125293662084,1.2988428433000563,0.05783903049552047,2.7330494626493604,2.535604720226024,2.9766931241918404,-0.5034251136692492,-0.554361923444735,-0.4509904162016287
GBM,2.9459052063812767,0.8623112993054709,1.950795897631694,0.05077546191431234,2.9406989545031093,2.7126528787956015,3.1951730360132045,-0.3964204074308087,-0.4771584562343967,-0.3260333803008254
SVM,3.8826219654170004,0.7585020611098957,1.7019776079826971,0.1776530070512841,3.8717333529217575,3.482860829073039,4.27894183133058,-0.5384084376009431,-0.6638220238105382,-0.4235975256440519
GLMNET,3.128084290414373,0.8489495231364258,2.712716257976178,0.08804725671831633,3.1259146351588054,2.9288222580701726,3.336351584065454,-0.48248482851149205,-0.5050953027861813,-0.45985297075824183
LM,3.1354201427819155,0.8473484886824201,2.7097256949778874,0.08919416738218526,3.133810495999845,2.935564231830793,3.341064335641461,-0.4574826410865187,-0.4839934427184045,-0.4333821737974741
