Model,Coefficient,SE,t_value,p_value,CI_95_lower,CI_95_upper,Significant
ols,-0.03348954970764216,0.036445678239953226,-0.9188894630291051,0.3582054771469039,-0.10492307905795048,0.03794397964266616,FALSE
country_fe,0.11446261523506596,0.03317335918471288,3.450437882932676,5.653701187058393e-4,0.0494428312330287,0.1794823992371032,TRUE
twoway_fe,0.03549305060500395,0.03127420674953076,1.1348985088338486,0.2564850732486928,-0.025804394624076347,0.09679049583408425,FALSE
lagged,0.04609085374254038,0.029061187864364985,1.5859934548324943,0.11282272665145848,-0.01086907447161499,0.10305078195669574,FALSE
