Institutional_Score,Marginal_Effect,SE,CI_Lower,CI_Upper,Significant
-2.5,0.04499999999999997,0.07569841477864646,-0.10336889296614708,0.193368892966147,
-2.4,0.04499999999999997,0.07323933369440222,-0.098549094041028365,0.18854909404102832,
-2.3,0.04499999999999997,0.0707831194565484,-0.09373491413483488,0.18373491413483484,
-2.2,0.04499999999999997,0.06833008122342606,-0.08892695919791509,0.178926959197915,
-2.1,0.04499999999999998,0.06588057376799325,-0.08412592458526677,0.17412592458526674,
-2,0.04499999999999998,0.06343500610861483,-0.07933261197288508,0.16933261197288504,
-1.9,0.04499999999999998,0.06099385214921255,-0.07454795021245664,0.16454795021245658,
-1.7999999999999998,0.04499999999999998,0.0585576638878294,-0.06977302122014564,0.1597730212201456,
-1.7,0.04499999999999998,0.05612708793443679,-0.06500909235149613,0.1550090923514961,
-1.6,0.04499999999999998,0.05370288632839021,-0.06025765720364485,0.1502576572036448,
-1.5,0.04499999999999998,0.05128596299183628,-0.05552048746399912,0.1455204874639991,
-1.4,0.04499999999999998,0.04887739763939975,-0.05079969937322352,0.1407996993732235,
-1.2999999999999998,0.04499999999999998,0.04647848964843845,-0.04609783971093936,0.13609783971093933,
-1.2,0.04499999999999998,0.04409081537009721,-0.04141799812539054,0.1314179981253905,
-1.1,0.04499999999999998,0.0417163037672323,-0.03676395538377533,0.1267639553837753,
-1,0.04499999999999998,0.03935733730830886,-0.03214038112428537,0.12214038112428534,
-0.8999999999999999,0.04499999999999999,0.03701688803775919,-0.02755310055400803,0.11755310055400804,
-0.7999999999999998,0.04499999999999999,0.03469870314579494,-0.02300945816575809,0.11300945816575808,
-0.7,0.04499999999999999,0.03240756084619761,-0.01851881925854732,0.10851881925854732,
-0.5999999999999999,0.04499999999999999,0.03014962686336267,-0.01409326865219083,0.10409326865219082,
-0.5,0.04499999999999999,0.02793295544692684,-0.00974859267597661,0.0997485926759766,
-0.3999999999999999,0.04499999999999999,0.02576819745345025,-0.00550566700876249,0.09550566700876248,
-0.2999999999999998,0.045,0.02366960075708924,-0.00139241748389491,0.09139241748389491,
-0.19999999999999973,0.045,0.02165640782770771,0.00255344065769288,0.0874465593423071,*
-0.09999999999999964,0.045,0.0197547462651384,0.00628069732032872,0.08371930267967127,*
0,0.045,0.018,0.00972,0.08027999999999999,*
0.10000000000000007,0.045,0.01643928222277359,0.01277900684336375,0.07722099315663625,**
0.20000000000000015,0.045,0.01513274595042155,0.01533981793717375,0.07466018206282624,**
0.30000000000000027,0.045,0.0141509716980849,0.01726409547175359,0.07273590452824641,**
0.4000000000000003,0.045,0.01356465996625053,0.01841326646614895,0.07158673353385106,***
0.5,0.045,0.01342572158209755,0.0186855856990888,0.0713144143009112,***
0.6000000000000001,0.045,0.01374772708486751,0.01805445491365967,0.07194554508634034,**
0.7000000000000002,0.045,0.0145,0.01658,0.07342000000000001,**
0.8000000000000003,0.045,0.01562049935181331,0.01438382127044591,0.07561617872955409,**
0.9000000000000004,0.045,0.01703672503740083,0.01160801892669437,0.07839198107330564,**
1,0.04500000000000001,0.0186815416922694,0.00838417828315197,0.08161582171684806,*
1.1,0.04500000000000001,0.0205,0.00481999999999999,0.08518000000000003,*
1.2000000000000002,0.04500000000000001,0.02244994432064365,9.981091315384508e-4,0.08900189086846158,*
1.3000000000000005,0.04500000000000001,0.0245,-0.00302,0.09302000000000002,
1.4000000000000004,0.04500000000000001,0.02662705391138871,-0.00718902566632185,0.09718902566632188,
1.5,0.04500000000000001,0.02881405906844782,-0.01147555577415773,0.10147555577415776,
1.6000000000000003,0.04500000000000002,0.03104834939252006,-0.0158547648093393,0.10585476480933934,
1.7000000000000002,0.04500000000000002,0.03332041416309228,-0.02030801175966085,0.1103080117596609,
1.7999999999999998,0.04500000000000002,0.03562302626111375,-0.02482113147178293,0.11482113147178297,
1.9000000000000004,0.04500000000000002,0.03795062581829187,-0.02938322660385204,0.11938322660385207,
2,0.04500000000000002,0.04029888335921978,-0.03398581138407074,0.12398581138407078,
2.1000000000000005,0.04500000000000002,0.04266438795998369,-0.03862220040156802,0.12862220040156805,
2.2,0.04500000000000002,0.04504442251822085,-0.04328706813571284,0.1332870681357129,
2.3000000000000007,0.04500000000000002,0.04743680006071238,-0.04797612811899623,0.1379761281189963,
2.4000000000000004,0.04500000000000002,0.04983974317750846,-0.05268589662791655,0.1426858966279166,
2.5,0.04500000000000002,0.05225179422756697,-0.05741351668603123,0.14741351668603128,
